track_name,rating_count_tot,user_rating
ひみつの出会い探しはバクアイ-無料の出会いチャットアプリで友達作り,13,5
"The Complete Fairytale Play Theater",13,5
"Thinkrolls Kings & Queens - Logic and Physics Game",13,5
Snowball!!,13,5
"Stealers Steal: A thief's quest for gold",12,5
"宾果消消消 -赵丽颖代言",12,5
"【明星恋爱】偶像之路TIME TO STAR",12,5
"Attack Heroes",12,5
CR7Selfie,12,5
楽天カード,11,5
"Boulder Dash® 30th Anniversary™ Premium",11,5
"Mon Espace - Pôle emploi",11,5
"Free QR Code Reader simply to scan a QR Code",10,5
大根にしがみつく女子高生,10,5
"Book - room escape game -",10,5
"Room Escape Game - Santa's Room",10,5
"Learn to Speak Spanish Fast With MosaLingua",9,5
"マンガ図書館Z -人気漫画が読み放題！",9,5
"BlockyTime - Track your time no need to Start/Stop",9,5
"minne - shopping handmade item",8,5
宜搜小说-热门网络书籍看书追更必备神器,8,5
"flick（フリック）- みんなの顔文字キーボードから名前が変わりました",8,5
"超ヒモ理論 ～働きたくないでござる～",8,5
棒棒糖-宝宝的世界衣橱,8,5
PPTAN,8,5
"MOJI TALK by DJ Khaled",8,5
"SHERMOJI - Official Richard Sherman Emoji Keyboard",8,5
"Learn English quickly with MosaLingua",7,5
"Analog London",7,5
"The Very Hungry Caterpillar™ – Shapes & Colors",7,5
"Halloween Makeover: Spa, Makeup & Dressup Salon",7,5
Akuarella,7,5
"Dice Crush",7,5
"Escape the Cake Café",7,5
"DELISH KITCHEN - レシピ動画で料理を簡単に",7,5
鬼とび,6,5
新概念英语2015最新版-英美全四册,6,5
优信二手车-二手车买车卖车评估交易平台,6,5
"Eye Training Cocololo-3dステレオグラム視力回復アプリ-",6,5
"Pirates Kids Room Escape",6,5
"Figure Skater - Girls Makeup & Dressup Salon Game",6,5
"Civil War: 1861",6,5
"Smart Baby ABC Games: Toddler Kids Learning Apps",6,5
"At the Zoo With Grandma and Grandpa",6,5
"Fitness Sync for Fitbit to Apple Health",6,5
"Room Escape Game - Pictures Room Esacpe",6,5
"ウィズダム英和・和英辞典 2",5,5
"FizzUp – Online Fitness Trainer",5,5
"Brake or Break",5,5
HauntedPic,5,5
"Craft The World - Episodes Edition",4,5
Comblosion,4,5
Huetopia,4,5
"The Snowman & The Snowdog Game",3,5
"Simple Camera - Fast Minimal Design",3,5
ホストのアブナイ世界,3,5
"Blade of Elemental",3,5
UDONちゅるん,3,5
Wavemoji,3,5
"Escape a Crepe House",3,5
"Escape the Sweet Shop Series",3,5
我的密码-极简账号备忘录，安全记录管家,2,5
ごちうさアラーム～チノ編～,2,5
"a. - Physical Simulation Puzzle Game",2,5
【カノピッピ大作戦】ギャルがオタクに恋をした/脱ギャル系彼女育成ゲーム,2,5
"Eric & Bruce BBQ Party",2,5
"Escape Game : Escape from Okinawa",2,5
"Survivor: Prologue",2,5
天天麻将-有奖励的麻将玩法全集,2,5
"Soccer Cup Championship 2016",2,5
"Flappy Marine",2,5
"ROAD -escape game-",2,5
"Pettson's Inventions 3",2,5
RETSNOM,2,5
Timeshare+,1,5
"Fragment's Note",1,5
"Baidu Videos",1,5
"Ducky Fuzz",1,5
"QRコードリーダー for iPhone - 無料で使えるQRコード読み取り用アプリ",1,5
DelusionCreatureGacha,1,5
"ContactsBook for iPad",1,5
"Kaiser 64",1,5
"LINE FIGHTERS",1,5
"Bike Race Level 100",1,5
霸王卧龙传,1,5
"求生无限 - 无限流生存挑战大冒险",1,5
"Hit the Button Math",1,5
激ムズ！ねこ階段,1,5
"Video Smith - A Powerful video editing tool set",1,5
"Dictionnaire Le Robert Mobile : 4 en 1",1,5
激ムズ！ねこじゃんぷ２,1,5
病みカワカメラ,1,5
"Should Shoot",1,5
"You hate me? わたしのこと きらい？",1,5
"ぷちドラシル 〜ゆるドラ外伝〜",1,5
"parkOmator – for Apple Watch meter expiration timer, notifications & GPS navigator to car location",1,5
僕の彼女は浮気なんかしない,1,5
"大挂西游 - 降魔之路官方正版",1,5
注文の多いブサ猫軒,1,5
ごちうさアラーム～リゼ編～,1,5
ぼっちでもリア充になれる奇跡のアプリ。〜恋する缶づめ。〜,1,5
"謎解き ジェスチャーゲーム - 何してる？",1,5
脱出ゲーム　ぼくのおねがいきいて,1,5
"Dark Money-無料のお金稼ぎギャンブルゲーム-",1,5
擬人缶～俺のペットが少女になった～,1,5
中高英文法を10時間で！マジグラ,1,5
"美播 - 玩不尽的真人游戏",1,5
"SLAAAASH ! -Cut and Smash ! refreshing Puzzle-",1,5
"おかんからのメッセ - ほのぼの謎解きゲーム",1,5
迷你屠龙传(1.76经典休闲挂机版),1,5
"Versus - Multiplayer Game (2 players)",1,5
"脱出ゲーム　Night Room",1,5
ゲームセンター倶楽部,1,5
蜀山诛魔纪-古装恋爱仙侠动作手游·MMO端游品质,1,5
Todrick,1,5
"Pan Book 3: Key to the Capitol",1,5
"Pan Book 4: Capitol Rising",1,5
"我叫MT3-回合制魔幻世界 大型公会副本开荒",1,5
街机格斗王,1,5
"Smart Matches ~ Puzzles with Matchsticks",1,5
"不思議雑貨店ローズ ～ほのぼの再建記～",1,5
"激おこ!! はじめしゃちょー　なんなんですか!?",1,5
"烈焰王座HD - 卡牌与挂机结合的养成放置游戏",1,5
"Frantic Ball",1,5
"ねこみっけ - おもしろい人気無料ゲーム",1,5
"Montessori Nature",1,5
ブラックバイトはじめました。２　～居酒屋編～,1,5
脱出ゲーム　Cottage,1,5
"Jeremstar box",1,5
"LINE Moments - Capture Your Fun Moments",1,5
"Advent Magnificat Companion 2016",1,5
"大话问仙 - 与众不同的萌派仙侠回合游戏体验(送神器)",1,5
"脱出ゲーム KOTATSU",1,5
